a4a_cat,share_iso1,share_iso0,smd_post,abs_smd_post
1,0.2046070460704607,0.1991869918699187,0.013502653004499486,0.013502653004499486
2,0.1111111111111111,0.10298102981029811,0.026298594567608722,0.026298594567608722
3,0.23441734417344173,0.23848238482384823,-0.009567127189350788,0.009567127189350788
4,0.18157181571815717,0.17208672086720866,0.024862981041238668,0.024862981041238668
5,0.13685636856368563,0.14227642276422764,-0.015641118160158545,0.015641118160158545
6,0.02168021680216802,0.03116531165311653,-0.05916396741415231,0.05916396741415231
7,0.10975609756097561,0.11382113821138211,-0.012900809647968003,0.012900809647968003
