sample,outcome,or,ame_overall,mem_at_mean,p,n
psm_nn_caliper0.05,exporter_any,2.57327960493543,0.1669136714753047,0.19482234855048017,1.345473153729966e-13,1452
psm_nn_caliper0.05,exporter_direct,2.2861348382060522,0.1264052839452413,0.13277767606928217,1.8797987648189337e-09,1452
psm_nn_caliper0.05_exact_ctryyear,exporter_any,2.504492782784322,0.1616112132924757,0.18561243527030621,8.225055320765548e-13,1424
psm_nn_caliper0.05_exact_ctryyear,exporter_direct,2.3071658475787395,0.1274609526340171,0.13424602608691286,1.477192328339767e-09,1424
psm_kernel_h0.06_gaussian_exact_ctryyear_glm,exporter_any,2.371166710105051,,,,4221
psm_kernel_h0.06_gaussian_exact_ctryyear_glm,exporter_direct,2.2001898847856087,,,,4221
